review_overall,number_of_reviews,Name of beer,Brewery,Country,Style,ABV,°C,Hoppy,Malty,Sweet,Mouthfeel,Sour,Fruit,Floral,Bitter,Look,Aroma,Tasting notes
4.14,132,Hopstravaganza,White Hag,Ireland,Hazy IPA,6.8,5,5,2,3,4,1,4,2,1,"hazy, straw","fruity, tropical","Double IPA with exotic tasting notes, such as spicy mango and pineapple. There are special nods to beers the brewery has made over recent years with notable tangering and watermelon flavours coming through."
3.97,110,Bullroarer,Round Corner,England,American pale ale,5.2,6,4,2,1,3,0,3,3,4,"hazy, golden","citrusy, floral","Gentle malts underpin luscious aromas of citrus-orange, floral and pine. Large kettle and whirlpool additions of American hops ensure great hop flavour. Dry hopping with Centennial, Cryo-Cascade and Amarillo build upon the citrus aroma. The palate is dry, leading to a refreshingly old school bitter finish."
3.96,106,Totality,Siren,England,Session IPA,4.3,6,4,2,2,3,0,2,2,2,"hazy, golden","tropical, citrusy","A crushable session IPA, features Eclipse hops popping with juicy tropical fruit flavours. Drinks with a soft mouthfeel and finishes with delicate, refreshing bitterness."
3.84,138,Callista Pilsner,Garden,Croatia,Pilsner,5,4.6,4,1,2,2,0,3,3,2,"clear, straw",fruity,"Super refreshing, dry-hopped Pilsner. Fermented with a traditional Bavarian lager yeast with an ultra-light, all-German malt base. Showcasing Callista hops developed at Hull Research Institute, displaying vibrant aromas of apricot, pears and strawberries, balanced with a crisp bitterness."
3.91,46,Lucky,Trouble Brewing,Ireland,Pale ale,5.8,4.6,4,3,3,3,0,3,3,2,"hazy, golden","citrusy, fruity","Lucky has a slight haziness and a full and bright fruitiness. The lemon and sage of the Talus hops caryy on the nose and on the palate the fruit really bursts out with peach, grape and a healthy blast of orange.Lucky is a beer that's vibrant, long-lasting and simultaneously refreshing."
3.89,47,Dingle,Dick Mack's,Ireland,Session IPA,4.6,6,3,2,2,3,1,4,2,3,"hazy, golden","citrusy, tropical","This session IPA contains modern bitterness. It is light gold in colour, has a medium body with a slight honey background and a big burst of exotic fruit with a dry finish."
3.95,70,How now are you?,O Brother,Ireland,Foreign extra stout,5.5,10-12,2,5,3,4,0,2,1,4,deep brown,"coffee, chocolate","Upfront we got aromas of coffee, chocolate, dried fruit, and roasted malts. Pouring a deep dark brown with an off-beige foam and a with a medium-full body there is complex chocolate, fig, espresso, and biscuity caramel flavours with a hint of smoke, and classic hop bitterness in the finish."
3.83,65,Gola Secca,Brewfist,Italy,Italian dry stout,4.8,5,3,4,2,3,1,1,3,4,dark brown,"roasty, herbal","Gola Secca is a dark dry stout meeting an Italian Pilsner. The name Gola Secca is inspired by this brew's dry, full-mouthedness derived from the phrase ""dry throat"" in Italian."
3.87,94,Baby caramel fudge stout,Kees,The Netherlands,Pastry stout,5.3,9,1,4,4,4,0,1,1,1,black,"caramel, coffee","Tastes almost the same as original Caramel fudge Stout 11.5% ABV. Loads of caramel, chocolate and hints of black coffee. "
3.52,718,Dark Matter,BRLO,Germany,Berlin stout,5,10-12,2,4,2,3,2,1,1,3,black,"coffee, chocolate","A stout to match the wardrobe and soul of Berlin: dark. A body of roasted malt, notes of chocolate and coffee with cocoa on the nose and a tanned finish. Not to be taken lightly."
4.06,100,Judicious,Kirkstall,England,Pale ale,4.8,8,4,2,2,3,0,4,2,1,"hazy, golden","tropical, citrusy","A tropical, hazy pale ale, designed to be both juicy and delicious! Hence, judicious. This soft, clean and highly-hopped pale ale is packed with flavours of pink grapefruit, pineapple, mango, lychee, passion fruit and peach, with a gentle hint of coconut. "
3.74,200,Keltoi,Mont Hardi,France,Kölsch,4.8,4-8,2,3,2,2,1,2,2,2,"hazy, straw","biscuity, malty","A pleasantly well-balanced beer with a surprisingly nuanced complexity. A delicate bouquet of floral honey is supported by the typical grainy malt and doughy wheat characters, all the while underscored by a hint of white seed fruits. A medium carbonation helps to round out the mouthfeel along with the subtle bitterness and nice dry finish."
3.93,54,Life's Carousel,Boundary,Ireland,West Coast pale ale,4,8-10,2,3,2,2,0,1,2,2,"clear, amber","citrusy, floral",An easy drinking West Coast style pale ale dry-hopped with Cascade and Simcoe. Tangerine and lightly floral hop notes are complimented by a malty base of biscuit and caramel with a balanced bitterness and a crisp finish.
4.03,65,West Coast to West Coast IPA,Bagby,United States,West Coast IPA,6.8,5,4,2,3,3,1,1,2,5,"hazy, straw","piny, citrusy","Has all the characteristics of a classic West Coast IPA. Resinous, pine notes are chopped with assertive bitterness coming through from zesty, citrus notes. This beer has a full mouthfeel - and is guaranteed to quench your thirst. "
3.97,268,Decennium Falcon,Two Chefs,The Netherlands,Double IPA,7.5,7,4,2,2,3,0,4,3,3,"hazy, golden","malty, citrusy","The beer's smooth malt backbone leads into an intense hop character of citrus, lemongrass and kaffir lime ending with a bright refreshing bitterness."
3.81,305,Superior Pilsner,Swinckels,The Netherlands,Pilsner,5.3,4,4,4,1,3,0,1,2,4,"clear, golden","spicy, fruity","Thirst-quenching Superior full-malt pilsner brewed with Cascade hops from the Yakima valley in the US and Polaris hops. Rich and clear, spicy and fruity, soft aftertaste with refined bitterness."
3.65,226,Strip,Oedipus,The Netherlands,Witbier,4.5,7,2,2,1,3,3,4,3,1,"clear, straw","orange, floral","Strip is based on how witbier has been brewed historically in Belgium, although Oedipus made a verion that reflects the energy of its neighbourhood. It has some tartness, some citrusy flavours from the hops and citrus peel and vinous notes derived from the fermentation with a blend of different yeast strains. "
3.95,245,Op & Top,De Molen,The Netherlands,Pale ale,4.5,4-6,3,2,1,2,1,2,2,3,"hazy, copper","herbal, citrusy","A beer to replace your all evening lager. This is very easy going, refreshing, hoppy and thirst-quenching. "
3.99,75,Super Dupa,Jopen,The Netherlands,Pale ale,5.5,5-7,4,3,2,3,2,5,1,3,"hazy, amber",fruity,"Lightly malty and contains lots of fruity flavours from the hops, such as grapefruit, tropical fruits, melon, papaya and lime. "
4.04,96,Levensgenieter,Kompaan,The Netherlands,New England IPA,4.5,5-6,4,2,2,4,0,4,2,2,"hazy, golden","fruity, citrusy","Fruity NEIPA characterised by melony, citrusy notes thanks to the use of Citra and Mosaic in the dry hop. The malt bill adds plenty of protein for hazy appearance and full body, while maintaining a friendly ABV for an easygoing experience. "
3.96,92,Out in the fields,Kees,The Netherlands,West Coast IPA,5.8,8,4,2,1,2,0,3,2.5,4,"hazy, straw","citrusy, floral",Crisp and fresh West Coast IPA and is a modern version of the classic West Coast IPA. Simcoe is used as late hop and the Centennial is used in the whirlpool at 80°C. Dry-hopped with Amario and Simcoe.
4.02,101,Kia Ora,Frontaal,The Netherlands,New Zealand IPA,5.5,6-8,3,2,3,3,2,5,4,3,"hazy, golden","fruity, tropical","Bursting with New Zealand hops that deliver a gorgeous, lush sweetness of papaya and passionfruit, undercut by lime juice and orange zest. There is a little white grape note threaded through to bring some complexity to the mix. "
3.99,156,Hamer & Sikkel,De Molen,The Netherlands,Porter,5.2,8,2,4,2,3,2,2,1,3,dark brown,"malty, chocolate, coffee","Robust porter with a mainly roasted and malty character, giving it chocolate, coffee and wood flavours finishing in a soft but intense bitterness."
3.87,202,Flat White,Two Chefs,The Netherlands,Espresso milk stout,5,10,1,4,3,5,0,0,0,2,black,"coffee, chocolate","Rich and robust the complex malt bill produces flavours of chocolate, coffee, biscuit, caramel and roasted malt. The lactose adds a touch of sweeteness to balance the roast and amplify the body. The natural coffee flavours of the beer are intensified by the late addition of freshly roasted coffee. "
3.86,200,Daily Grind,Moersleutel,The Netherlands,Coffee stout,6,10,2,4,3,4,1,1,0,3,dark brown,coffee,"Coffee packed stout, light enough to keep you going but intense enough to make you want more. "
3.77,144,Extra Stout,Jopen,The Netherlands,Stout,5.5,5-7,1,3,2,3,2,1,1,4,black,"chocolate, coffee",Has a roasted bitter taste with an espresso characteristic and hints of cacao and a dry finish.
3.54,240,Polyamorie,Oedipus,The Netherlands,Mango sour,5,7,4,2,1,3,3,5,2,3,"hazy, straw","tropical, fruity",Blend of hop forward Pale Ale and a Berliner Weisse with mango that are fermented together. The mango addition backs up the tropical fruit flavours from the aroma hops and the Berliner Weisse part brings a refreshing sourness.
3.59,173,Wisse Weizen,Poesiat & Kater,The Netherlands,Hefeweizen,4.5,5,1,3,3,3,2,4,1,1,"hazy, straw","fruity, lime, banana",Classic Hefeweizen with kafir lime. Sweet maltiness balanced with a touch of bitterness and topped with a twist of kafir lime.
