web-scraper-order,web-scraper-start-url,name
"1659354755-2968","https://gbbf.realaledb.com/LiveBar.php","Burton Town									 - Cascade									  - 5.6%
										- IPA											
											B14											

										
									    																				
										 									   
									   								   										   										   										   											   
										 Our American West Coast style IPA packed full of Cascade hops. Grapefruit bitterness to compliment the citrus notes and plenty of body."
"1659354755-2952","https://gbbf.realaledb.com/LiveBar.php","Bridgetown									 - Shark Island Stout									  - 4.5%
										- Stout											
											B03											

										
									    																				
										 									   
									   								   										   										   										   											   
										 Dark bitter grain, deep finish with coffee, a hint of liquorice and hops."
"1659354755-2854","https://gbbf.realaledb.com/LiveBar.php","Alvinne (Belgium)									 - Cuvee Freddy									  - 7%
										- Other											
											B15											

										
									    																				
										 									   
									   								   										   										   										   											   
										 Tasting notes not available"
"1659354755-2841","https://gbbf.realaledb.com/LiveBar.php","Adnams									 - Sea Fog									  - 4.5%
										- IPA											
											B06											

										
									    																				
										 									   
									   								   										   										   										   											   
										 Tasting notes coming soon ..."
"1659354755-3081","https://gbbf.realaledb.com/LiveBar.php","Fixed Wheel									 - Blackheath Stout									  - 5%
										- Stout											
											B14											

										
									    																				
										 									   
									   								   										   										   										   											   
										 Full Bodied fruity stout dedicated to the home of our Blackheath Brewery, brewed with New Zealand and English hops to give an Oaky bitterness and a dark fruits finish."
"1659354755-3408","https://gbbf.realaledb.com/LiveBar.php","Steam Town									 - Steam Stout									  - 4.5%
										- Stout											
											B09											

										
									    																				
										 									   
									   								   										   										   										   											   
										 Milk stout with complex chocolate malt bitterness balanced with lactose and spicy hop notes"
"1659354755-2926","https://gbbf.realaledb.com/LiveBar.php","Bowland									 - Bumble									  - 4%
										- Blonde											
											B12											

										
									    																				
										 									   
									   								   										   										   										   											   
										 Blonde Ale lightly hopped with double addition of honey"
"1659354755-2951","https://gbbf.realaledb.com/LiveBar.php","Bridgetown									 - Albert Ale									  - 3.8%
										- Bitter											
											B03											

										
									    																				
										 									   
									   								   										   										   										   											   
										 A light easy session beer with well balanced hops and malt."
"1659354755-3254","https://gbbf.realaledb.com/LiveBar.php","Montys									 - Malarkey									  - 3.8%
										- IPA											
											B12											

										
									    																				
										 									   
									   								   										   																					   										   											   
										 Our wheat free IPA is gluten free. This dry hopped golden ale is packed full of Cascade and Simcoe hops, mouth watering"
"1659354755-3051","https://gbbf.realaledb.com/LiveBar.php","Elmeleven (Sweden)									 - Flat Earth									  - 7.5%
										- Other											
											B18											

										
									      										
										 									   
									   								   										   										   										   											   
										 Tasting notes not available"
"1659354755-3343","https://gbbf.realaledb.com/LiveBar.php","Redwillow									 - Soulless									  - 7.2%
										- Dark											
											B01											

										
									    																				
										 									   
									   																			   										   										   										   											   
										 A black IPA with an aroma of roasted caramel. Roasted malt flavour with fruity and bitter hoppiness at the finish."
"1659354755-3264","https://gbbf.realaledb.com/LiveBar.php","Nene Valley Brewery									 - Pulping On Your Stereo									  - 4.5%
										- IPA											
											B04											

										
									    																				
										 									   
									   								   										   										   										   											   
										 Orange IPA packed full of Mandarina & Citra hops plus hundreds of fresh oranges."
